id,transaction_id,client_id,datetime,amount,currency,merchant,transaction_type,ip_address,category,country_code,region,device_type,session_id,channel,recipient_id,transaction_purpose
1,0ece3492-67f2-43cb-886e-5f99360439fa,client_5,2025-04-12 15:32:17,125000.45,CNY,,p2p,118.178.92.154,p2p,CN,Shanghai,smartphone,987e6543-e21b-12d3-a789-426614174000,mobile_app,client_27,debt
2,eaef9e16-5429-44aa-bb06-f0f2834ded3a,client_14,2025-04-19 18:45:23,85670.89,EUR,,p2p,89.157.231.45,p2p,FR,Paris,smartphone,987e6543-e21b-12d3-a789-426614174001,mobile_app,client_33,debt
3,ff9ae270-0906-420a-9a3c-ec4856e1cc2f,client_27,2025-03-08 10:15:42,98500.32,USD,,p2p,72.14.192.178,p2p,US,New York,smartphone,987e6543-e21b-12d3-a789-426614174002,mobile_app,client_5,debt
4,51854b88-558d-40fd-9b60-6e4c101c9964,client_33,2025-04-26 14:22:36,75800.75,USD,,p2p,72.14.192.45,p2p,US,Los Angeles,tablet,987e6543-e21b-12d3-a789-426614174003,mobile_app,client_14,debt
5,9390ebae-7d5a-4216-ad68-c7b676852e5d,client_41,2025-03-15 16:37:51,215000.23,USD,,p2p,72.14.192.89,p2p,US,Chicago,smartphone,987e6543-e21b-12d3-a789-426614174004,mobile_app,client_59,debt
6,15719529-41c1-4e77-850d-d8f3d67246b5,client_59,2025-04-05 09:28:14,185000.67,USD,,p2p,72.14.192.112,p2p,US,New York,smartphone,987e6543-e21b-12d3-a789-426614174005,mobile_app,client_41,debt
7,a9e0b128-1c9e-46bd-bee9-af7208cdcc18,client_87,2025-03-22 13:41:39,92500.18,CNY,,p2p,118.178.92.67,p2p,CN,Beijing,smartphone,987e6543-e21b-12d3-a789-426614174006,mobile_app,client_131,debt
8,ba434f99-a042-4855-927a-2c847e7a8e71,client_97,2025-04-13 17:19:52,165000.34,USD,,p2p,72.14.192.205,p2p,US,Chicago,tablet,987e6543-e21b-12d3-a789-426614174007,mobile_app,client_197,debt
9,cff880b1-2ab4-4ee3-89f0-3caaafecb181,client_131,2025-02-09 11:05:27,107500.91,CNY,,p2p,118.178.92.211,p2p,CN,Shanghai,smartphone,987e6543-e21b-12d3-a789-426614174008,mobile_app,client_87,debt
10,1b57ab9e-ef1b-439d-8d90-945cf3136fe4,client_147,2025-03-29 15:53:44,195000.56,USD,,p2p,72.14.192.142,p2p,US,New York,smartphone,987e6543-e21b-12d3-a789-426614174009,mobile_app,client_191,debt
11,17b71ba8-32a9-46b3-b049-14cb54033dd5,client_191,2025-04-20 10:37:08,180000.78,USD,,p2p,72.14.192.98,p2p,US,Los Angeles,smartphone,987e6543-e21b-12d3-a789-426614174010,mobile_app,client_147,debt
12,3f144394-b7eb-44aa-a6a3-63e9773bb8a5,client_197,2025-03-01 14:22:31,145000.43,USD,,p2p,72.14.192.172,p2p,US,Chicago,tablet,987e6543-e21b-12d3-a789-426614174011,mobile_app,client_97,debt
13,8b2c7008-a144-4398-b8c6-9e6bb5369435,client_219,2025-04-06 17:48:19,205000.25,CNY,,p2p,118.178.92.39,p2p,CN,Beijing,smartphone,987e6543-e21b-12d3-a789-426614174012,mobile_app,client_241,debt
14,aceea16a-0cd9-42ef-945d-70d5c3104e3d,client_241,2025-02-16 12:33:52,135000.67,CNY,,p2p,118.178.92.87,p2p,CN,Shanghai,smartphone,987e6543-e21b-12d3-a789-426614174013,mobile_app,client_219,debt
15,8ce2e08c-7b4f-4e83-a7d3-cd50fe650ada,client_251,2025-03-23 09:15:47,175000.39,USD,,p2p,72.14.192.231,p2p,US,New York,smartphone,987e6543-e21b-12d3-a789-426614174014,mobile_app,client_285,debt
16,72277732-771e-4efe-9b9a-4eb492db5a3c,client_285,2025-04-27 16:29:04,155000.82,USD,,p2p,72.14.192.118,p2p,US,Los Angeles,tablet,987e6543-e21b-12d3-a789-426614174015,mobile_app,client_251,debt
17,1b7ff088-48a5-4181-873a-aab47b6a030e,client_295,2025-02-23 11:42:38,225000.14,EUR,,p2p,89.157.231.92,p2p,DE,Berlin,smartphone,987e6543-e21b-12d3-a789-426614174016,mobile_app,client_351,debt
18,bd91335d-b855-4e49-96f9-151e656cead3,client_329,2025-03-09 14:57:23,185000.76,USD,,p2p,72.14.192.64,p2p,US,Chicago,smartphone,987e6543-e21b-12d3-a789-426614174017,mobile_app,client_373,debt
19,79d8faf4-a064-486c-be0e-3f2959ad3ebf,client_351,2025-04-13 10:21:45,235000.29,EUR,,p2p,89.157.231.126,p2p,DE,Munich,smartphone,987e6543-e21b-12d3-a789-426614174018,mobile_app,client_295,debt
20,bb3db8d4-890d-43de-916d-9a881c773661,client_373,2025-02-02 15:38:12,175000.53,USD,,p2p,72.14.192.187,p2p,US,New York,tablet,987e6543-e21b-12d3-a789-426614174019,mobile_app,client_329,debt
21,52bf6cdd-a836-487c-ae95-1c7969a240e6,client_395,2025-03-16 09:04:27,195000.68,CNY,,p2p,118.178.92.143,p2p,CN,Shanghai,smartphone,987e6543-e21b-12d3-a789-426614174020,mobile_app,client_439,debt
22,0c2eeb4c-cbea-48a8-b5f9-648a5f2207df,client_439,2025-04-20 13:27:51,165000.94,CNY,,p2p,118.178.92.59,p2p,CN,Beijing,smartphone,987e6543-e21b-12d3-a789-426614174021,mobile_app,client_395,debt
23,2d242077-5fcf-4f12-9af3-aff92d648409,client_461,2025-02-09 16:52:34,215000.37,CNY,,p2p,118.178.92.198,p2p,CN,Shanghai,smartphone,987e6543-e21b-12d3-a789-426614174022,mobile_app,client_483,debt
24,3801a9d1-7f3a-4d1d-94c3-e9e91cdcbce7,client_483,2025-03-30 11:18:49,185000.62,CNY,,p2p,118.178.92.73,p2p,CN,Beijing,tablet,987e6543-e21b-12d3-a789-426614174023,mobile_app,client_461,debt
